seq_len,embed_dim,q_proj_ms,k_proj_ms,v_proj_ms,scores_ms,softmax_ms,output_ms,total_ms,attention_matrix_mb,gpu_peak_mb
64,128,0.11130236089229584,0.031109899282455444,0.03039836883544922,0.10446831583976746,0.03578886389732361,0.03162957727909088,0.34469738602638245,0.015625,8.50048828125
128,128,0.08458830416202545,0.030236318707466125,0.02870522439479828,0.07908046245574951,0.058030709624290466,0.03609992563724518,0.316740944981575,0.0625,8.75048828125
256,128,0.0599641352891922,0.030620023608207703,0.029185786843299866,0.07203593850135803,0.045455992221832275,4.258494824171066,4.495756700634956,0.25,9.43798828125
512,128,0.0842902809381485,0.030837953090667725,0.030007213354110718,0.5104765295982361,0.06293877959251404,0.08529052138328552,0.8038412779569626,1.0,11.56298828125
1024,128,0.10322593152523041,0.03458559513092041,0.03152899444103241,0.10862573981285095,0.07155537605285645,0.07730908691883087,0.4268307238817215,4.0,18.81396484375
2048,128,0.05849078297615051,0.036228448152542114,0.22606737911701202,6.567550823092461,0.10605156421661377,0.212131068110466,7.206520065665245,16.0,45.31396484375
