seq_len,embed_dim,runs,q_proj_median_ms,q_proj_p95_ms,k_proj_median_ms,k_proj_p95_ms,v_proj_median_ms,v_proj_p95_ms,scores_median_ms,scores_p95_ms,softmax_median_ms,softmax_p95_ms,output_median_ms,output_p95_ms,total_median_ms,total_p95_ms,attention_matrix_mb,gpu_peak_median_mb,gpu_peak_p95_mb
64,128,30,0.044567990698851645,0.06042598397471011,0.0280665117315948,0.04063063242938369,0.02655050775501877,0.03732280893018469,0.059319514548406005,0.08353670709766445,0.022893495042808354,0.04419118486111978,0.027662506909109652,0.043686905701179043,0.20751749980263412,0.29157542885513976,0.015625,8.50048828125,8.50048828125
128,128,30,0.04249050107318908,0.06630765856243667,0.0270575110334903,0.031159412174019956,0.025767003535293043,0.030600544414483004,0.05826000415254384,0.0728319995687343,0.02315451274625957,0.028948465478606505,0.02772649168036878,0.0362515464075841,0.2049169852398336,0.2655504387803375,0.0625,8.75048828125,8.75048828125
256,128,30,0.042404994019307196,0.05916089139645919,0.027354006306268275,0.040549764526076615,0.02592100645415485,0.03870668733725324,0.05793450691271573,0.08283009810838848,0.02281198976561427,0.03397588588995859,0.03153849684167653,0.04811284889001399,0.20824548846576363,0.3033054483239539,0.25,9.43798828125,9.43798828125
512,128,30,0.04359197919256985,0.04560400702757761,0.02777398913167417,0.029146808083169162,0.026337002054788172,0.026937012444250286,0.05805048567708582,0.06374025688273831,0.02607649366836995,0.026920042000710964,0.03832401125691831,0.04110874579055235,0.22064297809265554,0.2301416578120552,1.0,11.56298828125,11.56298828125
1024,128,30,0.04369149974081665,0.067159988975618,0.02874049823731184,0.03910494415322317,0.027711488655768335,0.035746801586355986,0.06022451270837337,0.087890301074367,0.03401900175958872,0.0411389468354173,0.05553598748520017,0.06959480524528769,0.25054153229575604,0.336626848729793,4.0,18.81396484375,18.81396484375
2048,128,30,0.04799550515599549,0.07302600133698431,0.03319451934657991,0.04389654204715043,0.031210496672429144,0.05187805072637268,0.1184270076919347,0.13474004954332486,0.06278348155319691,0.06936306599527597,0.10032451245933771,0.11504769936436786,0.39860003744252026,0.4638441576389596,16.0,45.31396484375,45.31396484375
4096,128,30,0.05311700806487352,0.0619854909018613,0.03817449032794684,0.046292461047414676,0.036949015338905156,0.03839559212792665,0.35233350354246795,0.3571793873561546,0.14807899424340576,0.1492855531978421,0.2995855174958706,0.3038059832761064,0.9287285211030394,0.9473198471823707,64.0,146.31396484375,146.31396484375
8192,128,30,0.06005998875480145,0.07419260655296964,0.04561401146929711,0.04837674350710586,0.0438324932474643,0.05096975219203159,1.2902714952360839,1.3063024540315382,0.44396451266948134,0.45421500399243087,1.0657169914338738,1.0885568975936621,2.951328016933985,3.085465206822846,256.0,540.31396484375,540.31396484375
