seq_len,embed_dim,window_size,max_attended_tokens,runs,q_proj_median_ms,q_proj_p95_ms,k_proj_median_ms,k_proj_p95_ms,v_proj_median_ms,v_proj_p95_ms,scores_median_ms,scores_p95_ms,softmax_median_ms,softmax_p95_ms,output_median_ms,output_p95_ms,total_median_ms,total_p95_ms,attention_matrix_mb,gpu_peak_median_mb,gpu_peak_p95_mb
64,128,2,5,30,0.05295872688293457,0.07437840104103084,0.030942261219024658,0.047253072261810296,0.028032809495925903,0.04185996949672699,0.1422986388206482,0.1839376986026764,0.026270747184753418,0.0363670289516449,0.07369741797447205,0.09896233677864075,0.35348162055015564,0.4886310547590256,0.001220703125,8.787109375,8.787109375
128,128,2,5,30,0.051233917474746704,0.06970800459384918,0.029802322387695312,0.040748342871665955,0.027135014533996582,0.03504268825054169,0.14211609959602356,0.16586296260356903,0.02658367156982422,0.030762329697608948,0.0731833279132843,0.08517727255821228,0.34920498728752136,0.41197724640369415,0.00244140625,9.2607421875,9.2607421875
256,128,2,5,30,0.05103275179862976,0.05882196128368378,0.029440969228744507,0.045685097575187635,0.027105212211608887,0.04364438354969023,0.14223530888557434,0.16858316957950592,0.026337802410125732,0.03077685832977295,0.07367134094238281,0.13731569051742526,0.3502890467643738,0.4902832210063931,0.0048828125,10.20849609375,10.20849609375
512,128,2,5,30,0.054001808166503906,0.07219761610031125,0.031117349863052368,0.04836171865463257,0.028405338525772095,0.052380934357643086,0.1427680253982544,0.20842291414737693,0.02662837505340576,0.04528239369392391,0.07582083344459534,0.1151762902736663,0.3664456307888031,0.609035417437553,0.009765625,12.10400390625,12.10400390625
1024,128,2,5,30,0.05248934030532837,0.0533033162355423,0.030882656574249268,0.03185160458087921,0.029362738132476807,0.03053806722164154,0.14172866940498352,0.16414448618888855,0.026553869247436523,0.02715177834033966,0.07315725088119507,0.07467865943908691,0.35452842712402344,0.3860555589199066,0.01953125,15.8955078125,15.8955078125
2048,128,2,5,30,0.053685158491134644,0.06114691495895386,0.03392249345779419,0.04696510732173917,0.03237277269363403,0.07745027542114252,0.14244765043258667,0.16604997217655182,0.026382505893707275,0.031594932079315186,0.07270649075508118,0.09747631847858423,0.36208704113960266,0.4605490714311599,0.0390625,23.478515625,23.478515625
4096,128,2,5,30,0.05681440234184265,0.08567981421947476,0.04042685031890869,0.051065534353256226,0.038333237171173096,0.05249492824077606,0.14184042811393738,0.20330026745796204,0.02635270357131958,0.040796771645545946,0.0737309455871582,0.10060407221317291,0.37666410207748413,0.54050013422966,0.078125,38.64453125,38.64453125
8192,128,2,5,30,0.06279721856117249,0.0636022537946701,0.046722590923309326,0.0475764274597168,0.04485622048377991,0.045468658208847046,0.14209747314453125,0.1640472561120987,0.026714056730270386,0.02859942615032196,0.11723116040229797,0.11848099529743195,0.4404708743095398,0.46548396348953247,0.15625,68.9765625,68.9765625
